frac,seed,snr,sep_ratio,between,within,kappa_tangent,kappa_logvar,min_rank,cond_max,valid
0.0,-1,inf,7.658676522193825,6.976723496276411,0.91095680514235,1.0,1.0,12,205620.49775186868,True
0.0,-1,4.0,6.737780105111933,4.5181618677302575,0.6705712856824078,1.0,1.0,12,267.0598036270092,True
0.0,-1,2.0,4.99444481859433,3.1508591947111255,0.6308727614689964,1.0,1.0,12,75.50245727590634,True
0.0,-1,1.0,2.9900140983208217,1.8544114242363552,0.6202015653631145,0.8222222222222222,1.0,12,21.05510227767791,True
0.0,-1,0.5,1.5329028981533217,0.8519531425421144,0.5557776318176819,0.6444444444444444,1.0,12,6.811408195369971,True
0.0,-1,0.25,0.6770027039668379,0.15923399497207733,0.2352043707345033,0.4,1.0,12,3.2768216441025486,True
0.0,-1,0.12,0.6741932744251732,0.01631679619000305,0.02420195633650452,0.0444444444444444,1.0,12,2.595838556160505,True
0.1,0,inf,7.643051132691559,7.209894052500089,0.9433266803176639,1.0,1.0,12,137064.98056795643,True
0.1,0,4.0,7.2149531191362,4.8483404331511855,0.6719850223686064,1.0,1.0,12,229.74359559107043,True
0.1,0,2.0,5.344306935400085,3.3557201889352704,0.6279055880393694,1.0,1.0,12,64.15345315844735,True
0.1,0,1.0,3.126506200110717,1.9185594376788517,0.6136432538054494,0.9555555555555556,1.0,12,18.250772349003636,True
0.1,0,0.5,1.5164968195372601,0.8172158297040754,0.5388839720438309,0.8222222222222222,1.0,12,6.087862808159565,True
0.1,0,0.25,0.6275246047839017,0.12696587774387486,0.2023281266996656,0.5111111111111111,1.0,12,3.1305149934092737,True
0.1,0,0.12,0.651168951533611,0.01406028899307546,0.0215923823762806,0.022222222222222254,1.0,12,2.5534527411626744,True
0.1,1,inf,10.426151694616637,6.858164827232678,0.6577848690590002,1.0,1.0,12,137278.03749697248,True
0.1,1,4.0,7.285782567324349,4.387231908362103,0.6021634419943007,1.0,1.0,12,257.47141095909745,True
0.1,1,2.0,4.673108655357362,2.90086150228398,0.620756270873001,1.0,1.0,12,71.98080659745119,True
0.1,1,1.0,2.5841036069727736,1.6023930026816557,0.6200962679506599,0.9777777777777777,1.0,12,20.214137569026303,True
0.1,1,0.5,1.2738268625432463,0.7024881183126012,0.5514784928542451,0.8,1.0,12,6.583080824747808,True
