condition,kind,n_cut,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,cond_max,valid,model
intact,intact,0,0,1.076608933307151,0.7111111111111111,0.6666666666666667,5.575094001689344,True,flow/0000/000
intact,intact,0,1,1.122196144427947,0.8222222222222222,0.7333333333333334,5.628849752125937,True,flow/0000/000
intact,intact,0,2,1.1043272495519163,0.7777777777777778,0.8222222222222222,5.483383757617121,True,flow/0000/000
onto_T4,targeted,44,0,0.699300575600983,0.1555555555555555,0.4222222222222223,4.5755407266733465,True,flow/0000/000
onto_T4,targeted,44,1,0.7963771570077465,0.4,0.6444444444444444,4.787026758947124,True,flow/0000/000
onto_T4,targeted,44,2,0.7472183090408939,0.2222222222222222,0.6,4.772869059991813,True,flow/0000/000
onto_T5,targeted,35,0,0.875649667399396,0.5777777777777777,0.3777777777777777,4.904593552216854,True,flow/0000/000
onto_T5,targeted,35,1,0.8864597641426699,0.6,0.6,5.078022408635127,True,flow/0000/000
onto_T5,targeted,35,2,0.8969099873686003,0.6444444444444444,0.5555555555555556,4.863392398644112,True,flow/0000/000
onto_T4_and_T5,targeted,79,0,0.4265322215608118,-0.0444444444444445,0.1777777777777778,3.907388721106379,True,flow/0000/000
onto_T4_and_T5,targeted,79,1,0.4969498875608854,0.2666666666666667,0.2222222222222222,4.122891225734056,True,flow/0000/000
onto_T4_and_T5,targeted,79,2,0.4873322864951847,0.2222222222222222,0.2222222222222222,4.268799694615467,True,flow/0000/000
from_photoreceptor,targeted,44,0,0.3285304092413511,-0.0666666666666666,0.0444444444444444,2.4000844447106973,True,flow/0000/000
from_photoreceptor,targeted,44,1,0.4149265277255102,0.1555555555555555,-0.1555555555555554,2.405182460308788,True,flow/0000/000
from_photoreceptor,targeted,44,2,0.6887107436354366,0.0,-0.0888888888888888,2.4082991045424467,True,flow/0000/000
T4_canonical_input,targeted,16,0,0.6990410252145524,0.1555555555555555,0.4,4.994895956174426,True,flow/0000/000
T4_canonical_input,targeted,16,1,0.7983024996269654,0.4444444444444444,0.6222222222222222,5.189285315034447,True,flow/0000/000
T4_canonical_input,targeted,16,2,0.7548511258564852,0.2444444444444444,0.5777777777777777,5.138781997600672,True,flow/0000/000
random_match_onto_T4_s0,random,44,0,0.8829918044270829,0.1777777777777778,0.6444444444444444,4.878173576040471,True,flow/0000/000
random_match_onto_T4_s0,random,44,1,0.9286656512778746,0.5555555555555556,0.7111111111111111,5.136970349487502,True,flow/0000/000
random_match_onto_T4_s0,random,44,2,0.8902218262720685,0.3555555555555555,0.7555555555555555,4.7368262285571765,True,flow/0000/000
